epoch,binary_accuracy,iou,loss,precision,recall,val_binary_accuracy,val_iou,val_loss,val_precision,val_recall
0,0.9294643998146057,0.044393621385097504,0.22399188578128815,0.06576596200466156,0.1339893788099289,0.9390739798545837,0.05614815279841423,0.23079845309257507,0.08744445443153381,0.13592594861984253
1,0.938653826713562,0.06271277368068695,0.1795702427625656,0.09936173260211945,0.14570222795009613,0.9395135045051575,0.06648148596286774,0.2018946260213852,0.10651854425668716,0.150518536567688
2,0.9391617178916931,0.06973406672477722,0.1747937798500061,0.11296802014112473,0.15413817763328552,0.9396491050720215,0.07148148864507675,0.20183636248111725,0.11637037992477417,0.156407430768013
3,0.9394652843475342,0.07301059365272522,0.17375682294368744,0.11960634589195251,0.15782979130744934,0.9397152066230774,0.0743703842163086,0.18386408686637878,0.1226666271686554,0.15914815664291382
4,0.9394724369049072,0.07573413103818893,0.1724785417318344,0.12586168944835663,0.15999989211559296,0.9397539496421814,0.07700000703334808,0.17832893133163452,0.12800000607967377,0.16062963008880615
5,0.9395736455917358,0.07736171782016754,0.17367038130760193,0.12999992072582245,0.1602659672498703,0.9397796988487244,0.07799997925758362,0.17060843110084534,0.13199998438358307,0.16059261560440063
6,0.939667820930481,0.07857447117567062,0.17139621078968048,0.1336701512336731,0.16031917929649353,0.9397978782653809,0.07996297627687454,0.1755135953426361,0.13559256494045258,0.16185182332992554
7,0.9396393299102783,0.08074460923671722,0.16852612793445587,0.1377553641796112,0.163350909948349,0.9398113489151001,0.0820000097155571,0.1794872283935547,0.13918519020080566,0.16507403552532196
8,0.9396881461143494,0.08268093317747116,0.1665084958076477,0.1411488950252533,0.16642548143863678,0.9398220181465149,0.08400001376867294,0.16945581138134003,0.1430000513792038,0.1675555408000946
9,0.9397122263908386,0.08441494405269623,0.1639290750026703,0.1451915055513382,0.1680319607257843,0.9398305416107178,0.08574072271585464,0.16060490906238556,0.1473703682422638,0.16977781057357788
