epoch,binary_accuracy,iou,loss,precision,recall,val_binary_accuracy,val_iou,val_loss,val_precision,val_recall
0,0.9361193776130676,0.044702135026454926,0.23198027908802032,0.06461702287197113,0.13941490650177002,0.9406705498695374,0.05407407507300377,0.1893218606710434,0.08629631251096725,0.12692594528198242
1,0.9396730661392212,0.061872366815805435,0.17957627773284912,0.10209574550390244,0.1359894871711731,0.9402644038200378,0.06533333659172058,0.20119810104370117,0.10822223126888275,0.14170372486114502
2,0.9397284984588623,0.06827668845653534,0.17644672095775604,0.11402124166488647,0.14539365470409393,0.9401404857635498,0.070333331823349,0.17704050242900848,0.11855554580688477,0.14770370721817017
3,0.9397938251495361,0.07196808606386185,0.1755702942609787,0.12274470180273056,0.14825527369976044,0.9400802850723267,0.0729999840259552,0.18302540481090546,0.1250370293855667,0.14996299147605896
4,0.9397751092910767,0.07443606853485107,0.173230841755867,0.12793610990047455,0.15128739178180695,0.940044641494751,0.07596295326948166,0.17115670442581177,0.1304444670677185,0.1523703634738922
5,0.9397949576377869,0.07681917399168015,0.17029736936092377,0.13347868621349335,0.15334048867225647,0.9400210976600647,0.07799997925758362,0.17166627943515778,0.13599997758865356,0.15551847219467163
6,0.9398344159126282,0.07927656918764114,0.16956663131713867,0.13826601207256317,0.15662753582000732,0.9400043487548828,0.08066665381193161,0.1682148575782776,0.14055556058883667,0.15874071419239044
7,0.9398406744003296,0.0818084329366684,0.16817964613437653,0.14307454228401184,0.16050007939338684,0.9399924278259277,0.08299997448921204,0.1689843237400055,0.14499999582767487,0.16181479394435883
8,0.9399768710136414,0.08341492712497711,0.16766032576560974,0.14661701023578644,0.1619255244731903,0.9399824738502502,0.08437038213014603,0.16435155272483826,0.14848145842552185,0.16377779841423035
9,0.93988436460495,0.08532979339361191,0.16712763905525208,0.15024472773075104,0.16460636258125305,0.9399746656417847,0.08618516474962234,0.16380766034126282,0.15196293592453003,0.16655556857585907
10,0.9398826956748962,0.0874679833650589,0.16461074352264404,0.15393610298633575,0.1680000275373459,0.939968466758728,0.0882963165640831,0.16565273702144623,0.1553703397512436,0.1698148548603058
11,0.9398787617683411,0.0895107164978981,0.1611875295639038,0.15745753049850464,0.1718830168247223,0.9399685859680176,0.0909629687666893,0.1534271091222763,0.15981486439704895,0.17425929009914398
12,0.9398713707923889,0.09242554008960724,0.1600993275642395,0.1624680906534195,0.1764681339263916,0.9399991035461426,0.09351854026317596,0.15675169229507446,0.16433334350585938,0.17799998819828033
13,0.9399713277816772,0.0948403850197792,0.15499748289585114,0.16684038937091827,0.17976586520671844,0.9400694370269775,0.09618519246578217,0.14918585121631622,0.1693333387374878,0.18248151242733002
14,0.9400204420089722,0.09787237644195557,0.15136529505252838,0.17198942601680756,0.1848936825990677,0.9402247071266174,0.09948145598173141,0.14149685204029083,0.17466668784618378,0.18762966990470886
15,0.9403235912322998,0.1015213206410408,0.14557993412017822,0.178170308470726,0.19084061682224274,0.9405854344367981,0.10362964123487473,0.12760326266288757,0.18166665732860565,0.1944815069437027
16,0.940693199634552,0.10575536638498306,0.14356842637062073,0.1851702481508255,0.1976490467786789,0.9409522414207458,0.10774076730012894,0.13242769241333008,0.18848152458667755,0.20133334398269653
